STATE/UT,DISTRICT,YEAR,RAPE
GUJARAT,AMRELI,2006,15
GUJARAT,AMRELI,2007,7
GUJARAT,AMRELI,2008,8
GUJARAT,AMRELI,2009,8
GUJARAT,AMRELI,2010,10
GUJARAT,AMRELI,2011,10
GUJARAT,AMRELI,2012,10
PUNJAB,AMRITSAR,2001,9
PUNJAB,AMRITSAR,2002,5
PUNJAB,AMRITSAR,2003,11
PUNJAB,AMRITSAR,2004,25
PUNJAB,AMRITSAR,2005,5
PUNJAB,AMRITSAR,2006,13
PUNJAB,AMRITSAR,2007,21
PUNJAB,AMRITSAR,2008,15
PUNJAB,AMRITSAR,2009,15
PUNJAB,AMRITSAR,2011,16
PUNJAB,AMRITSAR RURAL,2007,10
PUNJAB,AMRITSAR RURAL,2008,10
PUNJAB,AMRITSAR RURAL,2009,14
PUNJAB,AMRITSAR RURAL,2010,16
PUNJAB,AMRITSAR RURAL,2012,18
GUJARAT,ANAND,2001,3
GUJARAT,ANAND,2002,8
GUJARAT,ANAND,2003,5
GUJARAT,ANAND,2004,12
GUJARAT,ANAND,2005,7
GUJARAT,ANAND,2006,14
GUJARAT,ANAND,2007,10
GUJARAT,ANAND,2008,11
GUJARAT,ANAND,2009,13
GUJARAT,ANAND,2010,15
GUJARAT,ANAND,2011,10
GUJARAT,ANAND,2012,9
ANDHRA PRADESH,ANANTAPUR,2001,23
ANDHRA PRADESH,ANANTAPUR,2002,28
ANDHRA PRADESH,ANANTAPUR,2003,19
ANDHRA PRADESH,ANANTAPUR,2004,20
ANDHRA PRADESH,ANANTAPUR,2005,16
ANDHRA PRADESH,ANANTAPUR,2006,16
ANDHRA PRADESH,ANANTAPUR,2007,31
ANDHRA PRADESH,ANANTAPUR,2008,37
ANDHRA PRADESH,ANANTAPUR,2009,22
ANDHRA PRADESH,ANANTAPUR,2010,20
ANDHRA PRADESH,ANANTAPUR,2011,16
ANDHRA PRADESH,ANANTAPUR,2012,18
JAMMU & KASHMIR,ANANTNAG,2001,6
JAMMU & KASHMIR,ANANTNAG,2002,16
JAMMU & KASHMIR,ANANTNAG,2003,9
JAMMU & KASHMIR,ANANTNAG,2004,17
JAMMU & KASHMIR,ANANTNAG,2005,9
JAMMU & KASHMIR,ANANTNAG,2006,22
JAMMU & KASHMIR,ANANTNAG,2007,16
JAMMU & KASHMIR,ANANTNAG,2008,13
JAMMU & KASHMIR,ANANTNAG,2009,8
JAMMU & KASHMIR,ANANTNAG,2010,7
JAMMU & KASHMIR,ANANTNAG,2011,18
JAMMU & KASHMIR,ANANTNAG,2012,14
A & N ISLANDS,ANDAMAN,2001,3
A & N ISLANDS,ANDAMAN,2002,1
A & N ISLANDS,ANDAMAN,2003,2
A & N ISLANDS,ANDAMAN,2004,10
A & N ISLANDS,ANDAMAN,2005,4
A & N ISLANDS,ANDAMAN,2006,6
A & N ISLANDS,ANDAMAN,2008,12
A & N ISLANDS,ANDAMAN,2009,18
A & N ISLANDS,ANDAMAN,2010,23
A & N ISLANDS,ANDAMAN,2011,13
ODISHA,ANGUL,2001,33
ODISHA,ANGUL,2002,25
ODISHA,ANGUL,2003,20
ODISHA,ANGUL,2004,27
ODISHA,ANGUL,2005,28
