STATE/UT,DISTRICT,YEAR,THEFT
PUNJAB,AMRITSAR,2005,121
PUNJAB,AMRITSAR,2011,99
PUNJAB,AMRITSAR RURAL,2012,181
PUNJAB,AMRITSAR RURAL,2010,86
PUNJAB,AMRITSAR RURAL,2009,74
PUNJAB,AMRITSAR RURAL,2007,70
PUNJAB,AMRITSAR RURAL,2008,68
GUJARAT,ANAND,2007,589
GUJARAT,ANAND,2008,508
GUJARAT,ANAND,2010,440
GUJARAT,ANAND,2003,432
GUJARAT,ANAND,2001,427
GUJARAT,ANAND,2009,412
GUJARAT,ANAND,2006,367
GUJARAT,ANAND,2004,361
GUJARAT,ANAND,2002,359
GUJARAT,ANAND,2011,358
GUJARAT,ANAND,2005,320
GUJARAT,ANAND,2012,283
ANDHRA PRADESH,ANANTAPUR,2010,730
ANDHRA PRADESH,ANANTAPUR,2011,645
ANDHRA PRADESH,ANANTAPUR,2007,603
ANDHRA PRADESH,ANANTAPUR,2012,581
ANDHRA PRADESH,ANANTAPUR,2009,547
ANDHRA PRADESH,ANANTAPUR,2006,516
ANDHRA PRADESH,ANANTAPUR,2008,496
ANDHRA PRADESH,ANANTAPUR,2004,442
ANDHRA PRADESH,ANANTAPUR,2005,439
ANDHRA PRADESH,ANANTAPUR,2001,366
ANDHRA PRADESH,ANANTAPUR,2003,358
ANDHRA PRADESH,ANANTAPUR,2002,356
JAMMU & KASHMIR,ANANTNAG,2009,182
JAMMU & KASHMIR,ANANTNAG,2008,149
JAMMU & KASHMIR,ANANTNAG,2011,143
JAMMU & KASHMIR,ANANTNAG,2010,140
JAMMU & KASHMIR,ANANTNAG,2005,122
JAMMU & KASHMIR,ANANTNAG,2007,120
JAMMU & KASHMIR,ANANTNAG,2006,117
JAMMU & KASHMIR,ANANTNAG,2003,105
JAMMU & KASHMIR,ANANTNAG,2004,92
JAMMU & KASHMIR,ANANTNAG,2002,91
JAMMU & KASHMIR,ANANTNAG,2012,86
JAMMU & KASHMIR,ANANTNAG,2001,83
A & N ISLANDS,ANDAMAN,2009,134
A & N ISLANDS,ANDAMAN,2008,125
A & N ISLANDS,ANDAMAN,2010,116
A & N ISLANDS,ANDAMAN,2004,100
A & N ISLANDS,ANDAMAN,2006,100
A & N ISLANDS,ANDAMAN,2005,88
A & N ISLANDS,ANDAMAN,2011,86
A & N ISLANDS,ANDAMAN,2001,65
A & N ISLANDS,ANDAMAN,2003,58
A & N ISLANDS,ANDAMAN,2002,46
ODISHA,ANGUL,2012,535
ODISHA,ANGUL,2011,470
ODISHA,ANGUL,2008,380
ODISHA,ANGUL,2009,379
ODISHA,ANGUL,2007,370
ODISHA,ANGUL,2006,316
ODISHA,ANGUL,2010,307
ODISHA,ANGUL,2005,302
ODISHA,ANGUL,2004,222
ODISHA,ANGUL,2001,175
ODISHA,ANGUL,2003,167
ODISHA,ANGUL,2002,127
ARUNACHAL PRADESH,ANJAW,2010,7
ARUNACHAL PRADESH,ANJAW,2011,3
ARUNACHAL PRADESH,ANJAW,2012,2
ARUNACHAL PRADESH,ANJAW,2009,0
MADHYA PRADESH,ANUPPUR,2004,131
MADHYA PRADESH,ANUPPUR,2007,130
MADHYA PRADESH,ANUPPUR,2005,129
MADHYA PRADESH,ANUPPUR,2006,112
MADHYA PRADESH,ANUPPUR,2012,108
MADHYA PRADESH,ANUPPUR,2010,92
MADHYA PRADESH,ANUPPUR,2011,86
MADHYA PRADESH,ANUPPUR,2008,83
MADHYA PRADESH,ANUPPUR,2009,73
MADHYA PRADESH,ANUPPUR,2003,46
BIHAR,ARARIA,2011,262
BIHAR,ARARIA,2009,252
BIHAR,ARARIA,2010,246
BIHAR,ARARIA,2008,234
BIHAR,ARARIA,2007,228
BIHAR,ARARIA,2012,220
BIHAR,ARARIA,2004,186
BIHAR,ARARIA,2003,181
BIHAR,ARARIA,2006,167
BIHAR,ARARIA,2001,161
BIHAR,ARARIA,2005,138
BIHAR,ARARIA,2002,109
TAMIL NADU,ARIYALUR,2012,131
TAMIL NADU,ARIYALUR,2001,124
TAMIL NADU,ARIYALUR,2011,94
TAMIL NADU,ARIYALUR,2009,92
TAMIL NADU,ARIYALUR,2010,76
BIHAR,ARWAL,2011,85
BIHAR,ARWAL,2010,84
BIHAR,ARWAL,2012,60
BIHAR,ARWAL,2008,57
BIHAR,ARWAL,2006,56
BIHAR,ARWAL,2009,55
BIHAR,ARWAL,2004,54
BIHAR,ARWAL,2007,53
BIHAR,ARWAL,2005,47
BIHAR,ARWAL,2002,37
BIHAR,ARWAL,2003,36
BIHAR,ARWAL,2001,24
WEST BENGAL,ASANSOL,2012,947
WEST BENGAL,ASANSOL,2011,641
WEST BENGAL,ASANSOL,2010,323
WEST BENGAL,ASANSOL,2009,283
WEST BENGAL,ASANSOL,2008,222
WEST BENGAL,ASANSOL,2005,158
WEST BENGAL,ASANSOL,2006,154
WEST BENGAL,ASANSOL,2007,145
WEST BENGAL,ASANSOL,2004,112
WEST BENGAL,ASANSOL,2003,75
WEST BENGAL,ASANSOL,2001,54
WEST BENGAL,ASANSOL,2002,39
MADHYA PRADESH,ASHOK NAGAR,2007,228
MADHYA PRADESH,ASHOK NAGAR,2006,162
MADHYA PRADESH,ASHOK NAGAR,2004,152
MADHYA PRADESH,ASHOK NAGAR,2008,142
MADHYA PRADESH,ASHOK NAGAR,2009,121
MADHYA PRADESH,ASHOK NAGAR,2011,113
MADHYA PRADESH,ASHOK NAGAR,2010,110
MADHYA PRADESH,ASHOK NAGAR,2012,103
MADHYA PRADESH,ASHOK NAGAR,2005,102
MADHYA PRADESH,ASHOK NAGAR,2003,101
UTTAR PRADESH,AURAIYA,2012,150
UTTAR PRADESH,AURAIYA,2011,129
UTTAR PRADESH,AURAIYA,2009,95
UTTAR PRADESH,AURAIYA,2010,95
UTTAR PRADESH,AURAIYA,2008,94
UTTAR PRADESH,AURAIYA,2001,82
UTTAR PRADESH,AURAIYA,2007,81
UTTAR PRADESH,AURAIYA,2006,76
UTTAR PRADESH,AURAIYA,2005,72
UTTAR PRADESH,AURAIYA,2002,71
UTTAR PRADESH,AURAIYA,2004,56
UTTAR PRADESH,AURAIYA,2003,43
BIHAR,AURANGABAD,2009,346
BIHAR,AURANGABAD,2010,338
BIHAR,AURANGABAD,2012,330
BIHAR,AURANGABAD,2008,307
BIHAR,AURANGABAD,2011,299
BIHAR,AURANGABAD,2007,289
BIHAR,AURANGABAD,2006,256
BIHAR,AURANGABAD,2005,243
BIHAR,AURANGABAD,2004,214
BIHAR,AURANGABAD,2002,132
BIHAR,AURANGABAD,2003,127
BIHAR,AURANGABAD,2001,103
MAHARASHTRA,AURANGABAD COMMR.,2009,1123
MAHARASHTRA,AURANGABAD COMMR.,2010,1012
MAHARASHTRA,AURANGABAD COMMR.,2008,975
MAHARASHTRA,AURANGABAD COMMR.,2011,852
MAHARASHTRA,AURANGABAD COMMR.,2012,822
MAHARASHTRA,AURANGABAD COMMR.,2007,762
MAHARASHTRA,AURANGABAD COMMR.,2006,666
MAHARASHTRA,AURANGABAD COMMR.,2005,649
MAHARASHTRA,AURANGABAD COMMR.,2004,603
MAHARASHTRA,AURANGABAD COMMR.,2002,535
MAHARASHTRA,AURANGABAD COMMR.,2003,506
MAHARASHTRA,AURANGABAD COMMR.,2001,503
MAHARASHTRA,AURANGABAD RURAL,2012,540
MAHARASHTRA,AURANGABAD RURAL,2010,532
MAHARASHTRA,AURANGABAD RURAL,2011,512
MAHARASHTRA,AURANGABAD RURAL,2008,487
MAHARASHTRA,AURANGABAD RURAL,2009,465
MAHARASHTRA,AURANGABAD RURAL,2007,376
MAHARASHTRA,AURANGABAD RURAL,2005,337
MAHARASHTRA,AURANGABAD RURAL,2004,330
MAHARASHTRA,AURANGABAD RURAL,2006,314
MAHARASHTRA,AURANGABAD RURAL,2002,291
MAHARASHTRA,AURANGABAD RURAL,2003,281
MAHARASHTRA,AURANGABAD RURAL,2001,273
JAMMU & KASHMIR,AWANTIPORA,2005,50
JAMMU & KASHMIR,AWANTIPORA,2009,50
JAMMU & KASHMIR,AWANTIPORA,2008,39
JAMMU & KASHMIR,AWANTIPORA,2004,37
JAMMU & KASHMIR,AWANTIPORA,2011,37
JAMMU & KASHMIR,AWANTIPORA,2007,35
JAMMU & KASHMIR,AWANTIPORA,2010,34
JAMMU & KASHMIR,AWANTIPORA,2003,23
JAMMU & KASHMIR,AWANTIPORA,2001,19
JAMMU & KASHMIR,AWANTIPORA,2002,18
JAMMU & KASHMIR,AWANTIPORA,2012,17
JAMMU & KASHMIR,AWANTIPORA,2006,15
UTTAR PRADESH,AZAMGARH,2012,240
UTTAR PRADESH,AZAMGARH,2011,214
UTTAR PRADESH,AZAMGARH,2010,201
UTTAR PRADESH,AZAMGARH,2001,187
UTTAR PRADESH,AZAMGARH,2005,185
UTTAR PRADESH,AZAMGARH,2008,179
UTTAR PRADESH,AZAMGARH,2009,176
UTTAR PRADESH,AZAMGARH,2006,164
UTTAR PRADESH,AZAMGARH,2002,160
UTTAR PRADESH,AZAMGARH,2004,141
UTTAR PRADESH,AZAMGARH,2007,119
UTTAR PRADESH,AZAMGARH,2003,116
UTTAR PRADESH,BADAUN,2001,306
UTTAR PRADESH,BADAUN,2002,271
UTTAR PRADESH,BADAUN,2004,262
UTTAR PRADESH,BADAUN,2012,218
UTTAR PRADESH,BADAUN,2005,179
UTTAR PRADESH,BADAUN,2009,178
UTTAR PRADESH,BADAUN,2003,175
UTTAR PRADESH,BADAUN,2006,161
UTTAR PRADESH,BADAUN,2007,158
UTTAR PRADESH,BADAUN,2011,156
UTTAR PRADESH,BADAUN,2010,155
UTTAR PRADESH,BADAUN,2008,126
HIMACHAL PRADESH,BADDIPOLICEDIST,2011,66
HIMACHAL PRADESH,BADDIPOLICEDIST,2010,50
HIMACHAL PRADESH,BADDIPOLICEDIST,2012,37
HIMACHAL PRADESH,BADDIPOLICEDIST,2009,28
BIHAR,BAGAHA,2008,217
BIHAR,BAGAHA,2007,170
BIHAR,BAGAHA,2006,156
BIHAR,BAGAHA,2011,135
BIHAR,BAGAHA,2009,134
BIHAR,BAGAHA,2002,127
BIHAR,BAGAHA,2012,126
BIHAR,BAGAHA,2001,115
BIHAR,BAGAHA,2010,115
BIHAR,BAGAHA,2005,99
BIHAR,BAGAHA,2003,90
BIHAR,BAGAHA,2004,66
KARNATAKA,BAGALKOT,2010,149
KARNATAKA,BAGALKOT,2002,147
KARNATAKA,BAGALKOT,2011,141
KARNATAKA,BAGALKOT,2004,134
KARNATAKA,BAGALKOT,2009,134
KARNATAKA,BAGALKOT,2012,130
KARNATAKA,BAGALKOT,2005,128
KARNATAKA,BAGALKOT,2006,128
KARNATAKA,BAGALKOT,2008,128
KARNATAKA,BAGALKOT,2007,125
KARNATAKA,BAGALKOT,2003,112
KARNATAKA,BAGALKOT,2001,105
UTTARAKHAND,BAGESHWAR,2002,22
UTTARAKHAND,BAGESHWAR,2003,17
UTTARAKHAND,BAGESHWAR,2005,17
UTTARAKHAND,BAGESHWAR,2006,14
UTTARAKHAND,BAGESHWAR,2001,13
UTTARAKHAND,BAGESHWAR,2010,10
UTTARAKHAND,BAGESHWAR,2008,9
UTTARAKHAND,BAGESHWAR,2007,8
UTTARAKHAND,BAGESHWAR,2004,6
